598,554
699,655
734,690
768,724
832,788
871,827
889,845
901,857
920,876
977,933
1012,968
1048,1004
1095,1051
1128,1084
1153,1109
1201,1157
1464,1420
1483,1439
1553,1509
1603,1559
1712,1668
1732,1688
1775,1731
2020,1977
2049,2006
2084,2041
2097,2054
2101,2058
2117,2074
2125,2082
2144,2101
2162,2119
2190,2147
2207,2164
2313,2270
2401,2358
2597,2554
2701,2658
2784,2741
2796,2753
2822,2779
2851,2808
2907,2864
2928,2885
2974,2931
2997,2954
3018,2975
3067,3024
3085,3042
3124,3081
3140,3097
3169,3126
3544,3502
3581,3539
3601,3559
3715,3673
3822,3780
3901,3859
3964,3922
3989,3947
4027,3985
4180,4138
4201,4159
4427,4385
