482,103100.786
482,103100.786
543,105134.387
552,105434.426
687,109935.019
687,109935.019
843,115135.704
843,115135.704
1014,120836.455
1014,120836.455
1121,124403.592
1121,124403.592
1143,125137.022
1143,125137.022
1171,126070.478
1171,126070.478
1217,127604.014
1217,127604.014
1444,135171.677
1444,135171.677
1745,145206.332
1745,145206.332
2044,155174.312
2044,155174.312
2344,165175.63
2344,165175.63
2644,175176.947
2644,175176.947
2644,175176.947
2644,175176.947
3546,205214.237
3546,205214.237
3846,215215.555
3846,215215.555
4146,225216.872
4146,225216.872
4446,235218.19
4446,235218.19
4446,235218.19
4758,245619.56
4758,245619.56
5047,255254.163
5047,255254.163
5347,265255.48
5347,265255.48
5347,265255.48
