1,0,0,8.33968,52.2066483333,25,9,2019,16:19:03.084000
2,3,4,8.34009,52.2066483333,25,9,2019,16:19:03.837000
3,8,9,8.33970166667,52.2067016667,25,9,2019,16:19:04.828000
4,23,24,8.339475,52.2067083333,25,9,2019,16:19:06.462000
5,47,48,8.338855,52.2066533333,25,9,2019,16:19:06.835000
6,53,54,8.33944166667,52.2066583333,25,9,2019,16:19:07.896000
1,69,70,8.33991166667,52.2066516667,25,9,2019,16:19:13.526000
2,4,6,8.34035333333,52.2066466667,25,9,2019,16:19:14.024000
1,10,12,8.340605,52.20665,25,9,2019,16:19:20.905000
2,3,4,8.34083833333,52.2066716667,25,9,2019,16:19:23.886000
1,0,0,8.34052,52.2066633333,25,9,2019,16:20:04.555000
2,3,4,8.340245,52.20668,25,9,2019,16:20:05.883000
1,17,18,8.34050666667,52.2067266667,25,9,2019,16:20:11.604000
2,3,4,8.34064333333,52.2065633333,25,9,2019,16:20:13.856000
1,0,0,8.34027666667,52.206605,25,9,2019,16:20:27.801000
2,3,4,8.34059166667,52.20662,25,9,2019,16:20:28.319000
3,9,10,8.340335,52.2066266667,25,9,2019,16:20:28.834000
4,14,15,8.34014166667,52.20653,25,9,2019,16:20:29.892000
5,30,31,8.34038,52.2066116667,25,9,2019,16:20:31.828000
1,59,60,8.340745,52.2066783333,25,9,2019,16:20:38.097000
2,18,19,8.3405,52.2066533333,25,9,2019,16:20:38.849000
1,0,0,8.33995666667,52.206515,25,9,2019,16:30:02.083000
2,3,4,8.34024833333,52.2065433333,25,9,2019,16:30:06.845000
3,70,71,8.34056,52.2066466667,25,9,2019,16:30:13.853000
1,0,0,8.340166666666667,52.20653833333334,25,9,2019,16:56:11.338915
1,0,0,8.34046,52.20658666666667,25,9,2019,16:57:08.509261
1,0,0,8.340465,52.206585,25,9,2019,16:57:51.348991
1,3,4,8.340468333333332,52.20658333333334,25,9,2019,16:58:03.089267
1,3,4,8.34047,52.20658333333334,25,9,2019,16:58:08.840891
1,3,4,8.340473333333334,52.20658166666667,25,9,2019,16:58:18.425270
1,3,4,8.340473333333334,52.20658166666667,25,9,2019,16:58:23.053901
1,3,4,8.340473333333334,52.20658166666667,25,9,2019,16:58:29.370011
1,3,4,8.340475,52.20658166666667,25,9,2019,16:58:35.304149
